"DOY","Ta","Tw","Smoi","Prec","Dchange","Taweek","Twweek","Dwk"
1,5.7,5.00187316151996,74.7353333333333,0,0.00847805166666937,5.68571428571429,4.07898033692237,9.78661621857143
2,6,3.77694310683602,73.6366666666667,0,0.00935167833333139,5.84285714285714,4.2330878513979,9.793312275
3,6.6,4.66584764330797,72.008,0,0.010216781666669,6.04285714285714,4.45531177466252,9.80089504404762
4,5.4,3.78230464982699,70.7413333333333,0,0.0110726200000002,5.92857142857143,4.18826567568298,9.8093576102381
5,5.5,2.58578953545508,69.282,0,0.0119184883333308,5.85714285714286,3.83957504148217,9.8186922697619
6,6.3,4.70985166947535,67.9126666666666,0,0.01275370333334,5.87142857142857,3.98274259547496,9.82889055452381
7,5.7,3.79426186783918,66.4173333333333,0,0.0135776249999999,5.88571428571429,4.04526737632294,9.83994326142857
8,5.8,6.15644047662923,64.59949092,0,0.0143896483333297,5.9,4.21020556419569,9.85184048214286
9,5.9,5.0202141897912,63.6615063118416,0,0.01518919666667,5.88571428571429,4.38781571890357,9.86457163404762
10,6.7,6.76102719324645,62.5283314994908,0,0.0159757383333297,5.9,4.6871270831805,9.87812549404762
11,5.8,5.46088138483091,61.2696361864061,0,0.0167487749999999,5.95714285714286,4.92692375960963,9.89249023333333
12,3.8,1.25781884962948,59.989713486472,0,0.0175078516666698,5.71428571428571,4.73721366163454,9.90765345309524
13,5.6,4.38789935428247,58.969888357202,0,0.0182525499999997,5.61428571428571,4.69122047374985,9.92360222238095
14,5.1,3.02796608907993,57.9160964522588,0,0.0189824950000013,5.52857142857143,4.58174964821281,9.94032311595238
15,4.5,3.73898872544385,56.9141479836347,0,0.0196973400000289,5.34285714285714,4.23639939804347,9.95780225119048
16,4.5,1.91688899727844,56.0490529342835,0,0.0203967916666006,5.14285714285714,3.7930672276845,9.97602532857143
17,4.9,4.99573446827684,54.8955634248959,0,0.0210805900000004,4.88571428571429,3.54088255268885,9.99497767047619
18,5.4,5.1482950286891,53.9793564713344,0,0.0217485049999997,4.82857142857143,3.4962273589543,10.0146442595238
19,6.2,6.12863564952862,52.991534247909,0,0.0224003600000007,5.17142857142857,4.19205833036846,10.0350097783333
20,2.8,1.3886097558343,58.6835984391349,9,0.0230360016666999,4.77142857142857,3.76358838773301,10.0560586473809
21,3.4,1.86856154232056,68.2889317724683,15,0.023655318333299,4.52857142857143,3.59795916676739,10.077775062619
22,5.3,4.43231801650191,69.9575984391349,3,0.0242582316666997,4.64285714285714,3.69700620834711,10.1001430338095
23,5,4.06527169162219,84.6755984391349,22.5,0.0248446983333004,4.71428571428571,4.00391802182479,10.1231464202381
24,3,4.10208782698443,83.8475984391349,0.5,0.0254147016666995,4.44285714285714,3.87625421592587,10.1467689654762
25,4.1,4.73289443747126,82.8309317724682,0,0.0259682616667014,4.25714285714286,3.81691127432332,10.1709943330952
26,3.2,3.24433825219556,81.5682651058016,0,0.0265054266665992,3.82857142857143,3.40486878899003,10.1958061388095
27,3.2,3.48947547449676,80.3902651058016,0,0.0270262683333993,3.88571428571429,3.70499246308467,10.221187982619
28,2.6,3.10261636806664,79.0095984391349,0,0.0275308883333008,3.77142857142857,3.88128600961982,10.2471234792857
29,2.9,4.04226797583495,77.0855984391349,0,0.0280194116666994,3.42857142857143,3.82556457523883,10.273596287381
30,3.7,3.74146404079398,75.4122651058016,0,0.0284919850000005,3.24285714285714,3.77930633940623,10.3005901364286
31,4.1,3.69886885590007,74.1002651058016,0,0.0289487783332998,3.4,3.72170362925132,10.3280888535714
32,6,4.46630463606099,72.4742651058016,0,0.0293899816667,3.67142857142857,3.68361937190699,10.3560763878572
33,2.6,1.57494659817959,70.6282651058016,0,0.0298157950000011,3.58571428571429,3.44513484990471,10.3845368319048
34,2.8,2.94763691984333,69.3435984391349,0,0.0302264499999989,3.52857142857143,3.36772934209708,10.4134544447619
35,5.5,5.08158190478783,68.0089317724682,0,0.0306221766666006,3.94285714285714,3.65043870448582,10.4428136702381
36,6.1,6.33712935153385,66.5875984391349,0,0.0310032316667002,4.4,3.97827604387138,10.4725991557143
37,4.9,3.24007263774425,68.8115984391349,4,0.0313698699999989,4.57142857142857,3.90664870057856,10.5027957676191
38,7.7,6.66468556975676,87.6555984391349,28.5,0.0317223733333005,5.08571428571429,4.33033680255809,10.533388607381
39,6.6,4.5549348800114,86.3582651058016,0,0.0320610166667006,5.17142857142857,4.34299826597957,10.5643630235714
40,4.7,5.39734307153036,84.7082651058016,0,0.0323860899999993,5.47142857142857,4.88905490502968,10.5957046247619
41,5.7,6.97360468759735,83.2535984391349,0,0.0326978916667002,5.88571428571429,5.46419315756597,10.6273992890476
42,5.4,7.16477749743714,81.7109317724682,0,0.0329967183332993,5.87142857142857,5.76179252794444,10.6594331735714
43,5,5.73045417657387,79.9195984391349,0,0.0332828733333006,5.71428571428571,5.6751246458073,10.6917927211905
44,5.8,7.02896366876337,78.4402651058016,0,0.0335566666666995,5.84285714285714,6.21639479309575,10.7244646683333
45,5.2,3.32355371115505,80.4435984391349,3.5,0.0338184000000012,5.48571428571429,5.73909024186693,10.7574360478571
46,7.6,7.63385173024604,79.4815984391349,0,0.0340683866667,5.62857142857143,6.17893550618617,10.7906941945238
47,3.3,1.4611604545191,79.4082651058016,1,0.0343069316665989,5.42857142857143,5.61662370375599,10.8242267471429
48,3.7,7.67878757617673,79.5155984391349,2,0.0345343400000004,5.14285714285714,5.71736411641019,10.8580216495238
49,2.5,5.90676274027765,78.0702651058016,0.5,0.0347509166667006,4.72857142857143,5.53764772253026,10.8920671516667
50,3.3,6.25615928742313,76.4429317724682,0,0.0349569599999988,4.48571428571429,5.61274845265158,10.9263518090476
51,5.8,7.57548427647679,74.7635984391349,0,0.0351527699999998,4.48571428571429,5.69082282518207,10.9608644811905
52,8.1,10.042055112442,72.7195984391349,0,0.0353386333333017,4.9,6.65060873965164,10.9955943295238
53,7.9,8.15108389392908,71.4395984391349,0,0.0355148399999994,4.94285714285714,6.72449904874921,11.0305308140476
54,7.8,8.59617809980071,82.2015984391349,17,0.0356816716666994,5.58571428571429,7.74378728378944,11.06566369
55,11.5,13.8473640777558,79.3949317724682,0,0.035839401666701,6.7,8.62501249830074,11.1009830033333
56,5.8,4.96893289232599,91.8295984391349,19,0.0359882949999992,7.17142857142857,8.49103680573621,11.136479085
57,6,5.83017895689904,90.5962651058015,0,0.0361286166666002,7.55714285714286,8.4301824728042,11.1721425461905
58,4.7,7.70127192313998,88.1869317724682,0,0.0362606166667003,7.4,8.44815213661323,11.2079642711905
59,3.7,8.06608828290657,86.3462651058015,0,0.0363845383332997,6.77142857142857,8.16587116096531,11.2439354111905
60,2.3,1.74617810888753,98.4295984391349,18.5,0.03650062,5.97142857142857,7.25088462024509,11.2800473769048
61,8.2,11.1035231865124,97.2875984391349,0,0.0366090883333996,6.02857142857143,7.60907677548961,11.3162918307143
62,7.3,6.39626600699034,100,10,0.0367101650000006,5.42857142857143,6.54463419395169,11.3526606792857
63,7.1,11.7739080816028,98.616,0.5,0.0368040533333005,5.61428571428571,7.51677350670552,11.3891460647619
64,5.5,4.48705246321952,98.2793333333333,0.5,0.0368909599999991,5.54285714285714,7.32489829332273,11.4257403564286
65,5.7,5.20256814207704,100,37,0.0369710683332993,5.68571428571429,6.96794061031374,11.4624361411905
66,11.4,14.0573953638089,100,3,0.0370445683334015,6.78571428571429,7.82384162187122,11.4992262159524
67,12.6,13.2482305142828,98.9333333333333,0,0.0371116216665985,8.25714285714286,9.46699196549912,11.5361035766667
68,9.6,9.39644542553198,98.0093333333333,0,0.0371723950000007,8.45714285714286,9.22312371393048,11.5730614097619
69,7.3,6.89793942921292,100,26.5,0.0372270383334001,8.45714285714286,9.29479134567657,11.6100930819048
70,5.3,5.78210098162855,100,19.5,0.0372756933332994,8.2,8.4388189028231,11.6471921311905
71,7.4,11.5186925131549,98.472,0,0.0373184866667007,8.47142857142857,9.44333890995673,11.6843522557143
72,7.2,8.24277693235029,96.4606666666667,0,0.0373555450000005,8.68571428571429,9.87765445142434,11.7215673054762
73,6.8,10.4958583894302,93.9233333333333,0,0.0373869749999987,8.02857142857143,9.36886345508452,11.7588312704762
