"DOY","Ta","Tw","SoilMoistureContent","Precipitation","deltaD","Taweek","Twweek","Dweek"
1,-0.809057617187477,-2.43002960500473,100,2.38751927099656,0.0109382349999994,0.302087402343772,-0.682020153172287,9.78772586761905
2,-0.0121826171874773,-1.55111777909698,100,5.77421815251,0.0097158050000008,-0.0876395089285489,-1.29139162254412,9.79493857309524
3,-1.18717041015623,-3.51928553703325,100,0.749436594560393,0.010577249999999,-0.354642159598192,-1.92324163782495,9.80306666142857
4,0.421228027343773,3.0879571465958,100,0.469613542009029,0.0114291233333308,-0.463563755580335,-1.68801824865588,9.81210272333333
5,0.940698242187523,3.09801494619517,99.8567519328868,0.432127899330226,0.0122707283333394,-0.209003557477656,-0.861413201610179,9.82203854119048
6,1.99019775390627,4.66403487214167,99.3683527972735,0.178401296579977,0.0131014050000005,0.174820382254486,0.208742773870258,9.83286511595238
7,1.80806884765627,4.55026992470427,100,2.51137043960625,0.0139205216666607,0.450254603794664,1.12854913835742,9.84457269714286
8,-0.840734863281227,-3.49494669356778,100,0.552463598069153,0.0147274833333402,0.445729282924129,0.976418125705557,9.85682159952381
9,-2.73703613281248,-4.36168750108516,100,7.4481955380179,0.0155217383333284,0.0564644949776998,0.574908165421531,9.86989992095238
10,-5.62961425781248,-7.07260750337125,100,6.10602437518537,0.0163027650000007,-0.578170340401765,0.0672907416589602,9.88379617309524
11,-3.53592529296873,-5.10484252524871,100,5.5105014325818,0.0170700866666706,-1.14347795758927,-1.10310921146168,9.89849827714286
12,-1.76700439453123,-2.66865074050854,100,1.9395327399252,0.0178232600000001,-1.53029261997766,-1.9269185952765,9.9139936
13,-0.0135864257812273,-1.6781154156828,100,1.56361038534669,0.0185618833333301,-1.81654750279016,-2.83294006496571,9.93026899119048
14,-0.990087890624977,-3.03424269055715,100,2.57838491961593,0.0192855983332993,-2.21628417968748,-3.91644186714591,9.94731082190476
15,-1.21555175781248,-3.31948246379051,100,1.83722240763018,0.01999408,-2.2698294503348,-3.8913755486063,9.96510502357142
16,-0.0693115234374773,-1.33497659221405,100,11.2405410618521,0.0206870466666995,-1.8887259347098,-3.45898827591043,9.98363712642856
17,0.306787109375023,-0.332672002682075,100,13.3150635519996,0.0213642533332994,-1.04066859654016,-2.49614034724055,10.0028922990476
18,-3.41977539062498,-4.29695500702051,100,12.5531936646439,0.0220254916667013,-1.02407575334819,-2.38072784463652,10.0228553866667
19,-5.43454589843748,-6.50794248400733,100,4.03761114284862,0.0226705949999992,-1.54801025390623,-2.92919809370778,10.0435109507143
20,-2.62625732421873,-3.76755491227283,100,5.10449390276335,0.0232994266666999,-1.92124895368301,-3.22768945036349,10.0648433066667
21,-1.85666503906248,-2.99035556207537,100,5.56402919755783,0.0239118916666001,-2.04504568917409,-3.22141986058038,10.0868365616667
22,-1.47458496093748,-2.09493805614048,99.9946666666667,2.36873602261767,0.0245079266667005,-2.08205043247766,-3.04648494520181,10.1094746519048
23,-1.22867431640623,-1.42419266119987,99.9413333333333,7.40624091122299,0.0250874966666998,-2.24767368861605,-3.05923009791407,10.1327413778571
24,0.0252319335937727,-0.645201958555909,100,9.87499297480099,0.0256506049999992,-2.2878958565848,-3.10387723446747,10.1566204397619
25,0.502648925781273,5.01099044970875,100,2.01523453142727,0.026197281666601,-1.72754952566962,-1.77417074064901,10.1810954716667
26,1.14327392578127,3.53054952794955,100,3.16561345243827,0.0267275849999997,-0.787860979352658,-0.340100453226594,10.2061500735714
27,0.294030761718773,1.33889455565378,100,3.25251457979903,0.0272416016667005,-0.370676967075872,0.389392327905779,10.2317678433333
28,-0.450354003906227,-1.53187282647245,100,1.87106816156302,0.0277394399999995,-0.169775390624978,0.597747004420482,10.2579324057143
29,-0.801672363281227,-3.07958156437006,100,0.354539997715619,0.0282212383333,-0.0736450195312279,0.45708364610197,10.2846274411905
30,1.32344970703127,3.55664292486338,100,28.2933586277068,0.0286871499999997,0.290944126674129,1.16863158696815,10.3118367128571
31,-0.537939453124977,-1.80910366296338,100,4.75806227768771,0.0291373566667001,0.210491071428594,1.00235991490994,10.3395440919047
32,-1.72623291015623,-3.04009225054621,100,0.338097356689104,0.0295720533333004,-0.107920619419621,-0.147794756555056,10.3677335811905
33,0.890649414062523,4.69395076986653,100,0.298966278933221,0.0299914499999989,-0.144009835379442,0.0184054208616556,10.3963893369047
34,2.15871582031252,6.0655102910623,100,0.121895095617219,0.0303957816667015,0.122373744419665,0.69363624020573,10.4254956897619
35,1.49227294921877,2.48273109752756,100,0.94201386673376,0.0307852883333002,0.399891880580378,1.26715108649145,10.4550371638095
36,-0.923254394531227,-2.87019426552767,100,0.184381258350186,0.0311602266666995,0.382523018973235,1.29706355775464,10.4849984933333
37,1.36593017578127,6.08189119146168,100,0.0376535382429211,0.0315208649999992,0.388591657366093,1.65781331012583,10.5153646392857
38,5.73110351562502,8.79279778634756,100,7.12189867044799,0.0318674783333002,1.28416922433038,3.17237066002739,10.546120802619
39,-0.731054687499977,-2.7803389667075,100,1.31656752273557,0.0322003533333994,1.4263375418527,3.20947827200435,10.5772524373809
40,3.46926269531252,8.19804557996805,99.4289343352395,0.653401502859197,0.0325197816666005,1.79471086774556,3.710063244876,10.6087452623809
41,-0.734167480468727,-2.26905673075237,100,3.89474589610472,0.0328260583334004,1.38144182477681,2.51941081318819,10.6405852697619
42,-2.11923828124998,-3.22401614231426,99.992,2.81783995887963,0.0331194883333001,0.865511648995557,1.7041612074965,10.6727587342857
43,0.430200195312523,1.06332449071018,100,4.54715991509147,0.0334003749999994,1.05886230468752,2.26609245838762,10.70525222
44,0.356103515625023,-0.50897043577372,100,11.967802856816,0.033669025,0.914601353236629,1.32454079735399,10.7380525857143
45,-3.08273925781248,-4.61273436329299,100,5.21688925800845,0.0339257499999999,-0.344519042968728,-0.59053522402323,10.7711469902381
46,-3.14176025390623,-4.21234067963224,100,0.670940789859742,0.0341708516667012,-0.688905552455336,-0.795106897298193,10.8045228945238
47,0.856164550781273,4.10929668081815,100,17.7344030817039,0.03440464,-1.06220528738837,-1.37921388289104,10.8381680642857
48,2.85958251953127,7.62840699780109,99.6547006564654,0.984050984698115,0.0346274233332995,-0.548812430245514,0.0347095069023158,10.8720705719048
49,-0.475622558593727,-2.26775192154134,100,1.43572870001663,0.0348394983332998,-0.314010184151764,0.171318681298447,10.9062187952381
50,1.29927978515627,6.46557199914958,99.9935672611324,1.53035089169862,0.0350411683334002,-0.189855957031229,0.943068325361218,10.9406014176191
51,3.37947998046877,7.61401286165686,100,1.64409866556525,0.0352327250000002,0.242054966517878,2.10349451070844,10.9752074257143
52,0.262292480468773,1.60001126179109,100,1.25481292343466,0.0354144616665995,0.7199166434152,2.99102960000617,11.0100261069048
