"DOY","Ta","Tw","Smoi","Prec","Dch","Taweek","Twweek","Dwk"
1,13.527305041375,14.5728707893171,99.3551397607903,0.422709641185401,0.0109382349999994,10.2524687026396,6.96075482872988,9.78772586761905
2,14.962824479865,15.5031059452506,100,5.57868892288846,0.0097158050000008,11.1277107265774,7.82154868273592,9.79493857309524
3,13.221600006409,12.9831077116863,100,4.91544662774571,0.010577249999999,11.5453509306507,8.85570742861283,9.80306666142857
4,8.46245691539201,8.180340641861,100,1.84915212833924,0.0114291233333308,11.3577245432877,9.29750133894796,9.81210272333333
5,6.14774550343202,6.16777123092215,99.8644662581229,0.904699387184334,0.0122707283333394,11.0753297420787,9.77732534231356,9.82203854119048
6,6.58554637346805,7.6092729190323,99.1804102836796,0.0459160383350371,0.0131014050000005,10.7365863417033,10.3387531124212,9.83286511595238
7,11.351410535793,13.0255653529717,100,9.18113117798169,0.0139205216666607,10.6084126936763,11.1488620844345,9.84457269714286
8,12.475499051504,13.1457667690407,99.3512004010843,0.511800601626391,0.0147274833333402,10.4581546951233,10.9449900815378,9.85682159952381
9,11.630946329513,11.4270994355943,98.9787606791734,0.31234041713377,0.0155217383333284,9.98217210221587,10.3627034373012,9.86989992095238
10,10.980738394393,12.2753110862439,100,8.65373353330882,0.0163027650000007,9.66204901478501,10.2615896336666,9.88379617309524
11,10.658705580697,10.4257305794116,100,32.8421447654507,0.0170700866666706,9.9757988241143,10.5823596247452,9.89849827714286
12,8.18824694621702,8.48244790593774,100,2.16414207801935,0.0178232600000001,10.2672990302264,10.913027721176,9.9139936
13,7.67626185282001,9.05989685114266,100,1.15706437268551,0.0185618833333301,10.4231155272767,11.1202597114775,9.93026899119048
14,7.43487437618404,8.46133919716108,99.3602196061284,0.138329409192666,0.0192855983332993,9.8636103616183,10.4682274035046,9.94731082190476
15,7.26425783725603,7.38884947948058,98.7972166058869,0.042495499637759,0.01999408,9.11914733101144,9.64581064785312,9.96510502357142
16,6.728077344452,7.94306790442632,98.1813081654495,0.417137339343787,0.0206870466666995,8.41873747600273,9.14809185768627,9.98363712642856
17,4.21401115688502,5.69049109409203,97.5700427801192,0.280101922004561,0.0213642533332994,7.45206215635873,8.20740328737886,10.0028922990476
18,5.47254515296703,7.1409555423008,96.7359982397591,0.0399331894599271,0.0220254916667013,6.71118209525445,7.73814971064874,10.0228553866667
19,6.08294887488699,7.12721463388527,96.0848243663906,0.08723918994718,0.0226705949999992,6.41042522792159,7.54454495749839,10.0435109507143
20,5.97963989943202,7.68742887995691,95.3097104314723,0.187329097622628,0.0232994266666999,6.16805066315188,7.34847810447186,10.0648433066667
21,6.40380960722501,8.11064726446286,94.5774872619566,0.249665245726449,0.0239118916666001,6.02075569615773,7.29837925694354,10.0868365616667
22,5.32614018446003,6.74941865856223,93.915338145999,0.285776326063593,0.0245079266667005,5.7438817457583,7.20703199681235,10.1094746519048
23,5.772538859571,7.77801531271523,93.1082130442689,0.297312347404826,0.0250874966666998,5.60737624791816,7.18345305513933,10.1327413778571
24,5.94809223957401,7.70454276278271,92.547487302468,0.591911387298726,0.0256506049999992,5.85510211687373,7.47117472209514,10.1566204397619
25,6.53357338258002,7.91605634310208,91.9567749341038,0.391931447453605,0.026197281666601,6.00667757824701,7.5819034079239,10.1810954716667
26,8.06771933570803,10.1525459748489,91.3139844874978,0.633814330091042,0.0267275849999997,6.29021621550716,8.01409359949013,10.2061500735714
27,8.76231316694304,11.2788532742112,90.4747968905799,0.580218604623164,0.0272416016667005,6.68774096800873,8.52715422724074,10.2317678433333
28,7.82038243556804,9.67343779322707,89.7978731095687,0.521614328483232,0.0277394399999995,6.89010851491488,8.7504100170642,10.2579324057143
29,8.17932258275204,9.43257871062823,89.0789816577252,0.215662822234677,0.0282212383333,7.29770600038517,9.13371859593077,10.2846274411905
30,11.165485873971,13.5833425838307,88.9865683057611,1.92937997205384,0.0286871499999997,8.06812700244231,9.96305106323298,10.3118367128571
31,12.873053746683,13.7375661468129,90.0064289000652,2.64979089145626,0.0291373566667001,9.0574072177436,10.8249115466659,10.3395440919047
32,15.615889194034,15.8841705600074,94.798505624011,7.57211508591867,0.0295720533333004,10.3548809050942,11.9632135776523,10.3677335811905
33,12.374375197947,12.0717753325308,95.3975843828615,1.82761813827564,0.0299914499999989,10.9701174568426,12.2373892001783,10.3963893369047
34,9.98151603181304,11.0672716138551,100,12.150025893105,0.0303957816667015,11.1442892946812,12.2071632486989,10.4254956897619
35,10.413449656355,10.1877328073195,100,10.0298721404045,0.0307852883333002,11.5147274690793,12.2806339649978,10.4550371638095
36,9.66138231531403,9.24952969990989,100,3.01687013730942,0.0311602266666995,11.7264502880167,12.2544841063238,10.4849984933333
37,8.28251749898203,9.78847598920157,100,4.08785103230998,0.0315208649999992,11.3145976630183,11.712360307091,10.5153646392857
38,5.004666225476,7.43561793828428,98.9372368517288,0.194855277593195,0.0318674783333002,10.1905423028459,10.8120819915869,10.546120802619
39,6.85031699558004,9.68504973696114,97.8029812219578,0.0276165553434312,0.0322003533333994,8.93831770306673,9.92649330258033,10.5772524373809
40,11.781579024039,13.9681136050191,100,15.4377237131784,0.0325197816666005,8.85363253536559,10.1973987700787,10.6087452623809
41,8.05976505453503,9.61072261050573,99.2313519627107,0.62602794406606,0.0328260583334004,8.57909668146873,9.98932034102875,10.6405852697619
42,8.09109707113703,9.85268633704127,98.1647131796245,0.155041825370721,0.0331194883333001,8.24733202643759,9.94145655956043,10.6727587342857
43,8.90263256527504,11.7084738448131,96.9626498526629,0.191905009557604,0.0334003749999994,8.13893920500345,10.2927342945466,10.70525222
